"PROD_ID","dia","qty","preco","hora","mes","semana","dia_da_semana_num","C1","C2","C3","C4","C5","C6"
"P6",30,7,1893.01,8,1,4,5,1898,1898,1898,NA,NA,1999.9
"P6",31,5,1892.98,20,1,4,6,1894.88,1894.88,1894.88,NA,NA,1999.9
"P6",31,5,1892.98,20,1,4,6,1896.62,2199,1895.98,NA,NA,2099
"P6",75,14,1798.95,20,3,11,1,1858,1439.1,1439.1,1599,NA,2379.87
"P6",48,2,4798,8,2,7,2,1885.9,2199,1859,2199,NA,1999
"P6",48,2,4798,8,2,7,2,1885.9,1869.15,1859,2155.02,NA,1999
"P6",48,2,4798,8,2,7,2,1994,1994,1994,2199,NA,1998
"P6",48,2,4798,8,2,7,2,1994,1994,1994,2199,NA,1998
"P6",43,4,2142.485,20,2,6,4,1884.99,1885,1886,2199,NA,2199
"P6",43,4,2142.485,8,2,6,4,1884.99,1869.15,1859,NA,NA,1999
"P6",43,4,2142.485,20,2,6,4,1884.99,1885,1886,2199,NA,2199
"P6",43,4,2142.485,20,2,6,4,1884.9,1869.15,1859,2155.02,NA,1999
"P6",43,4,2142.485,20,2,6,4,1884.9,2199,1859,2199,NA,1999
"P6",64,66,1703.41,20,3,9,4,2199,NA,NA,1869.15,NA,2379.87
"P6",65,51,1776.67,8,3,9,5,2199,NA,NA,2199,NA,2379.87
"P6",49,2,2399,8,2,7,3,1885.9,1869.15,1859,1599,NA,1999
"P6",49,2,2399,8,2,7,3,1994,1994,1994,2199,NA,1998
"P6",49,2,2399,8,2,7,3,1994,1994,1994,2199,NA,1998
"P6",49,2,2399,8,2,7,3,1885.9,2199,1859,1599,NA,1999
"P6",49,2,2399,20,2,7,3,1999,1999,1999,NA,NA,1998
"P6",50,3,2159.1,8,2,7,4,1999,1999,1999,NA,NA,1998
"P6",50,3,2159.1,20,2,7,4,1989,1989,1989,NA,NA,1998
"P6",68,3,1799,20,3,10,1,1858.99,1859,1859,1599,NA,2379.87
"P6",68,3,1799,20,3,10,1,1859,1859,1817.04,NA,NA,1989
"P6",68,3,1799,20,3,10,1,1858.99,1859,1859,1599,NA,2379.87
"P6",68,3,1799,20,3,10,1,1859,1859,1817.04,NA,NA,1989
"P6",9,14,1898.85,8,1,1,5,2025,1835.1,1835.1,NA,NA,2799.9
"P6",9,14,1898.85,20,1,1,5,1897.99,1897.99,1897.99,2199,NA,2399
"P6",8,7,1914.8,20,1,1,4,2087.99,1835.1,1835.1,NA,NA,2799.9
"P6",72,14,1798.99,20,3,10,5,1857.99,1979.1,1619.1,1599,NA,2379.87
"P6",72,14,1798.99,20,3,10,5,1857.99,1979.1,1619.1,1599,NA,2379.87
"P6",38,11,1886.73,20,2,5,6,1887.96,1887.96,1887.96,2199,NA,1999.9
"P6",15,13,1898.98,20,1,2,4,1894.99,1894.99,1894.99,1799,NA,2158
"P6",18,4,1898.98,8,1,2,7,1949,1896.9,1896.9,2199,NA,2158
"P6",14,7,1895.4,8,1,2,3,1898.99,1898.99,1898.99,1799,NA,2159.1
"P6",20,10,1894.5,20,1,3,2,1897.77,1995,1948.9,NA,NA,2369.9
"P6",22,14,1894,20,1,3,4,1949,1938,1938,2199,NA,1999.9
"P6",20,10,1894.5,20,1,3,2,1949,1949,1949,2199,NA,2158
"P6",13,12,1896.8,20,1,2,2,1899,1899,1899,1799,NA,2399
"P6",16,23,1898.98,20,1,2,5,1895,1895,1895,2199,NA,2158
"P6",21,20,1894.3,8,1,3,3,1948,1994.99,1948.9,NA,NA,2369.9
"P6",28,6,1893.195,8,1,4,3,1928,1897,1896.89,NA,NA,2199.9
"P6",83,8,1748.65,20,3,12,2,1797.99,1797.99,1748.65,NA,NA,1989
"P6",83,8,1748.65,20,3,12,2,1797.99,1797.99,1748.65,NA,NA,1989
"P6",72,14,1798.99,20,3,10,5,1798.97,1798.99,1798.97,NA,NA,1989
"P6",72,14,1798.99,20,3,10,5,1798.97,1798.99,1798.97,NA,NA,1989
"P6",75,14,1798.95,20,3,11,1,1798.9,1599,1599,NA,NA,1989
"P6",75,14,1798.95,20,3,11,1,1858,1439.1,1439.1,1599,NA,2379.87
"P6",75,14,1798.95,20,3,11,1,1798.9,1599,1599,NA,NA,1989
"P6",34,280,1665.56,8,2,5,2,1979.1,1668.3,1668.3,NA,NA,1999
"P6",35,362,1665.56,8,2,5,3,1890.95,1890.95,1890.95,2199,NA,1999.9
"P6",35,362,1665.56,8,2,5,3,1891,1668.24,1668.22,NA,NA,1999
"P6",35,362,1665.56,8,2,5,3,1890.95,1890.95,1890.95,2199,NA,1999.9
"P6",39,3,1886.7,20,2,5,7,1887,2199,1859,NA,NA,1999
"P6",38,11,1886.73,20,2,5,6,1887.96,1887.96,1887.96,2199,NA,1999.9
"P6",39,3,1886.7,20,2,5,7,1887,1869.15,1859,NA,NA,1999
"P6",54,1,4798,20,2,8,1,1989,2199,1999,2199,NA,2099
"P6",48,2,4798,20,2,7,2,1885.9,2199,1859,2199,NA,1999
"P6",48,2,4798,20,2,7,2,1994,1994,1994,2199,NA,1998
"P6",49,2,2399,20,2,7,3,1999,1359.15,1359.15,1599,NA,2099
"P6",48,2,4798,20,2,7,2,1885.9,1869.15,1859,2199,NA,1999
"P6",49,2,2399,20,2,7,3,1999,1599,1599,1599,NA,2099
"P6",16,23,1898.98,20,1,2,5,1895,1895,1895,2199,NA,2158
"P6",14,7,1895.4,8,1,2,3,1899,1757.36,1797.3,NA,NA,2799.9
"P6",19,6,1894.9,8,1,3,1,1940,1756.39,1979,NA,NA,2369.9
"P6",13,12,1896.8,20,1,2,2,1899,1757.36,1875.6,NA,NA,2799.9
"P6",14,7,1895.4,20,1,2,3,1896.73,1898.98,1896.73,1799,NA,2159.1
"P6",44,5,2399,20,2,6,5,1885.9,1869.15,1859,2155.02,NA,2099
"P6",47,2,2399,20,2,7,1,1994,1994,1994,2199,NA,1998
"P6",45,2,2399,8,2,6,6,1886,1886,1886,2199,NA,1998
"P6",47,2,2399,20,2,7,1,1885.9,2199,1859,2199,NA,1999
"P6",169,4,1755.765,20,6,24,4,1829.9,1829.9,1829.9,1699,NA,1999
"P6",42,10,1885.98,8,2,6,3,1885,1885,1885,2199,NA,1998
"P6",43,4,2142.485,8,2,6,4,1885,1885,1885,2199,NA,2199
"P6",43,4,2142.485,8,2,6,4,1884.99,2199,1859,NA,NA,1999
"P6",38,11,1886.73,20,2,5,6,1887,1869.15,1859,NA,NA,1999
"P6",39,3,1886.7,20,2,5,7,1887.96,1887.96,1887.96,2199,NA,1999.9
"P6",37,55,1665.56,20,2,5,5,1888,1869.15,1859,NA,NA,1999
"P6",39,3,1886.7,8,2,5,7,1887,1869.15,1859,NA,NA,1999
"P6",8,7,1914.8,20,1,1,4,2028.9,2028.9,2028.9,2199,NA,2399
"P6",79,13,1748.73,8,3,11,5,1799,1799,1799,NA,NA,1989
"P6",24,7,1893.38,8,1,3,6,1936,1936,1936,1799,NA,1999.9
"P6",21,20,1894.3,8,1,3,3,1948.99,1948.99,1948.99,2199,NA,1999.9
"P6",18,4,1898.98,8,1,2,7,1940,1756.66,1979,NA,NA,2369.9
"P6",23,14,1893.48,8,1,3,5,1936,1936,1936,2199,NA,1999.9
"P6",12,15,1896.5,8,1,2,1,1896.74,1896.74,1896.74,1979.1,NA,2399
"P6",28,6,1893.195,8,1,4,3,1928,1669.36,1896.89,NA,NA,2199.9
"P6",20,10,1894.5,8,1,3,2,1998,1995.9,1979,NA,NA,2369.9
"P6",14,7,1895.4,20,1,2,3,1897.8,1796.85,1796.85,NA,NA,2799.9
"P6",28,6,1893.195,20,1,4,3,1928,1896.79,1896.7,NA,NA,2199.9
"P6",50,3,2159.1,8,2,7,4,1999,1859,1859,NA,NA,2099
"P6",54,1,4798,8,2,8,1,1989,1359.15,1359.15,1869.15,NA,2099
"P6",54,1,4798,8,2,8,1,1989,1599,1599,2199,NA,2099
"P6",54,1,4798,8,2,8,1,1989,1799,1899,NA,NA,1998
"P6",54,1,4798,8,2,8,1,1989,1799,1899,NA,NA,1998
"P6",59,11,1703.41,8,2,8,6,1883,1883,1883,NA,NA,1994.9
"P6",59,11,1703.41,8,2,8,6,1882.79,1859,1859,1869.15,NA,1999
"P6",59,11,1703.41,8,2,8,6,1882.79,1859,1859,2199,NA,1999
"P6",64,66,1703.41,20,3,9,4,1829.9,1829.9,1829.9,NA,NA,1989
"P6",68,3,1799,8,3,10,1,1877,1499,1877,NA,NA,1989
"P6",26,7,1893.35,20,1,4,1,1799,1894.9,1799,1799,NA,1999.9
"P6",24,7,1893.38,8,1,3,6,1947.94,1937.79,1898,NA,NA,2369.9
"P6",26,7,1893.35,20,1,4,1,1619.1,1667.51,1799,1799,NA,1999.9
"P6",24,7,1893.38,20,1,3,6,1936,1936,1936,1799,NA,1999.9
"P6",25,5,1893.35,8,1,3,7,2199,1897,1897,NA,NA,2369.9
"P6",47,2,2399,8,2,7,1,1886,1886,1886,2199,NA,1998
"P6",47,2,2399,20,2,7,1,1994,1994,1994,2199,NA,1998
"P6",46,3,2399,22,2,6,7,1886,1886,1665.56,2199,NA,1998
"P6",167,12,1756.88,20,6,24,2,1797.77,1799.9,1799.9,NA,NA,NA
"P6",72,14,1798.99,8,3,10,5,1798.99,1798.99,1798.99,NA,NA,1989
"P6",64,66,1703.41,20,3,9,4,1829.9,1829.9,1829.9,NA,NA,1989
"P6",64,66,1703.41,20,3,9,4,2199,NA,NA,2199,NA,2379.87
"P6",58,155,1703.41,20,2,8,5,1869.15,1859,1859,1869.15,NA,1999
"P6",58,155,1703.41,20,2,8,5,1882.86,1883,1703.41,NA,NA,1994.9
"P6",58,155,1703.41,20,2,8,5,1882.86,1883,1703.41,NA,NA,1994.9
"P6",58,155,1703.41,20,2,8,5,1979.1,1859,1859,2199,NA,1999
"P6",39,3,1886.7,8,2,5,7,1887.96,1887.96,1887.96,2199,NA,1999.9
"P6",38,11,1886.73,8,2,5,6,1887,2199,1859,NA,NA,1999
"P6",42,10,1885.98,20,2,6,3,1884.99,2199,1859,NA,NA,1999
"P6",42,10,1885.98,20,2,6,3,1885,1885,1885,2199,NA,1998
"P6",42,10,1885.98,20,2,6,3,1884.99,1869.15,1859,NA,NA,1999
"P6",42,10,1885.98,20,2,6,3,1885,1885,1885,2199,NA,1998
"P6",42,10,1885.98,8,2,6,3,1885,1885,1885,2199,NA,1998
"P6",78,12,1748.9,20,3,11,4,1798.88,1798.9,1798.88,NA,NA,1989
"P6",78,12,1748.9,8,3,11,4,1899,1859,1859,1599,NA,2379.87
"P6",78,12,1748.9,20,3,11,4,1798.88,1798.9,1798.88,NA,NA,1989
"P6",78,12,1748.9,20,3,11,4,1857.95,1859,1859,1599,NA,2379.87
"P6",78,12,1748.9,20,3,11,4,1857.95,1859,1859,1599,NA,2379.87
"P6",31,5,1892.98,8,1,4,6,1894.99,1894.99,1894.99,NA,NA,1999.9
"P6",31,5,1892.98,8,1,4,6,1894.99,1894.99,1894.99,NA,NA,1999.9
"P6",9,14,1898.85,8,1,1,5,2025,2025,2025,1979.1,NA,2399
"P6",9,14,1898.85,20,1,1,5,2088,1835.1,1799.1,NA,NA,2799.9
"P6",34,280,1665.56,20,2,5,2,1890.95,1890.95,1465.69,2199,NA,1999.9
"P6",34,280,1665.56,20,2,5,2,1890.95,1890.95,1665.56,2199,NA,1999.9
"P6",34,280,1665.56,20,2,5,2,2199,1895.76,1895.76,NA,NA,1999
"P6",26,7,1893.35,8,1,4,1,1936,1667.51,1936,2199,NA,1999.9
"P6",13,12,1896.8,8,1,2,2,1949,1949,1949,1799,NA,2399
"P6",19,6,1894.9,8,1,3,1,1940,1995.9,1979,NA,NA,2369.9
"P6",28,6,1893.195,20,1,4,3,1928,1928,1928,NA,NA,1999.9
"P6",12,15,1896.5,20,1,2,1,1949,1949,1949,1979.1,NA,2399
"P6",24,7,1893.38,20,1,3,6,1947.94,1669.36,1897,NA,NA,2369.9
"P6",16,23,1898.98,8,1,2,5,1999,1756.74,1796.67,NA,NA,2369.9
"P6",50,3,2159.1,8,2,7,4,1999,1859,1859,NA,NA,2099
"P6",68,3,1799,8,3,10,1,1877,1499,1877,NA,NA,1989
"P6",68,3,1799,8,3,10,1,2199,1979.1,1859,1599,NA,2379.87
"P6",68,3,1799,8,3,10,1,2199,1979.1,1859,1599,NA,2379.87
"P6",44,5,2399,8,2,6,5,1994,1994,1994,2199,NA,1998
"P6",47,2,2399,20,2,7,1,1885.9,1869.15,1859,2155.02,NA,1999
"P6",46,3,2399,22,2,6,7,1885.9,1999,1859,2199,NA,1999
"P6",45,2,2399,8,2,6,6,1886,1886,1886,2199,NA,1998
"P6",47,2,2399,8,2,7,1,1869.15,1699.15,1859,2155.02,NA,1999
"P6",72,14,1798.99,8,3,10,5,1599,1979.1,1859,1599,NA,2379.87
"P6",72,14,1798.99,8,3,10,5,1599,1979.1,1859,1599,NA,2379.87
"P6",51,4,2399,20,2,7,5,1989,1999,1999,1869.15,NA,2099
"P6",72,14,1798.99,8,3,10,5,1798.99,1798.99,1798.99,NA,NA,1989
"P6",83,8,1748.65,8,3,12,2,1798.89,1798.89,1748.69,NA,NA,1989
"P6",83,8,1748.65,8,3,12,2,1798.89,1798.89,1748.69,NA,NA,1989
"P6",83,8,1748.65,8,3,12,2,1849,1798.99,1798.99,1599,NA,1904.7
"P6",83,8,1748.65,8,3,12,2,1849,1798.99,1798.99,1599,NA,1904.7
"P6",58,155,1703.41,8,2,8,5,1883,1883,1861.9,NA,NA,1994.9
"P6",58,155,1703.41,8,2,8,5,1883,1883,1861.9,NA,NA,1994.9
