"PROD_ID","qty_semana","media_preco_semana","dia","qty","preco","date","qty_anterior","hora","mes","semana","dia_da_semana_num","C1","C2","C3","C4","C5","C6"
"P8",388,496.48574742268,193,19,457,2015-07-12,23,20,7,27,7,458,431.1,454.98,NA,NA,NA
"P8",388,496.48574742268,193,19,457,2015-07-12,23,8,7,27,7,458,458,458,NA,NA,NA
"P7",4416,882.400865036232,80,335,849,2015-03-21,368,20,3,11,6,849,849,849,849,NA,849
"P6",62,1774.21983870968,119,13,1779,2015-04-29,11,8,4,17,3,1799,1798,1799,NA,NA,1799
"P9",1113,427.85850853549,284,86,388.89,2015-10-11,123,20,10,40,7,395.82,395.82,395.82,NA,529,399.99
"P2",456,718.451184210526,228,44,680.99,2015-08-16,67,20,8,32,7,NA,NA,677.98,719.1,NA,699
"P5",68,925.319705882353,153,12,897,2015-06-02,9,20,6,22,2,936.99,936.99,936.99,NA,NA,NA
"P4",225,570.547511111111,156,20,540.55,2015-06-05,31,20,6,22,5,NA,NA,NA,569,NA,499
"P2",448,866.789821428571,39,30,828,2015-02-08,70,20,2,5,7,NA,NA,828,746.1,829,879
"P7",567,777.773968253968,240,42,779,2015-08-28,54,20,8,34,5,NA,NA,NA,729,704.88,NA
"P1",122,1528.48852459016,279,25,1499,2015-10-06,25,8,10,40,2,1499,1499,1499,NA,1499,NA
"P7",5369,861.248653380518,33,719,849,2015-02-02,290,20,2,5,1,NA,NA,898,781.08,NA,849
"P3",131,1303.16732824427,137,22,1279,2015-05-17,16,20,5,19,7,1218.99,1218.99,NA,NA,NA,NA
"P7",11025,755.388848072562,231,4930,699,2015-08-19,1962,8,8,33,3,739.9,739.9,739.9,681.59,680.85,739
"P6",272,1773.47602941176,64,66,1703.41,2015-03-05,135,20,3,9,4,2199,NA,NA,1869.15,NA,2379.87
"P3",57,1198.23684210526,234,7,1098,2015-08-22,6,8,8,33,6,1099,1099,1099,NA,NA,1098
"P1",96,1482.90395833333,160,16,1499,2015-06-09,16,8,6,23,2,1499,1499,1499,NA,NA,NA
"P2",1654,771.888796856106,62,268,746.1,2015-03-03,220,19,3,9,2,NA,NA,792.95,829,NA,879
"P3",26,1152.29230769231,276,6,1166.96,2015-10-03,6,8,10,39,6,967.12,1099,989.1,1070.15,NA,1199
"P5",43,925.090930232558,165,4,927.98,2015-06-14,1,8,6,23,7,934,934,934,NA,NA,NA
"P7",3575,843.921846153846,138,139,776.67,2015-05-18,286,20,5,20,1,797,796.99,796.99,759,849,768.99
